timestamp,jobID,job,company,attempted,result
2020-09-11 13:22:12.139036,2011286105,Data Analyst Customer Interaction,ING España&Portugal,False,False
2020-09-11 13:23:59.532420,2006520930,Senior Data Engineer - Digital Hub,Ferrovial,True,True
2020-09-11 13:24:14.866790,2011285318,Data Engineer,Paradigma Digital,False,False
2020-09-11 13:24:41.354935,1991159116,Data Integration Engineer (ETL),Hays,True,True
2020-09-11 13:25:13.744466,1990942383,Data Engineer,Montarelo Consulting,True,False
2020-09-11 13:25:40.318900,1989511155,Data Engineer BI BigData,Linea Directa Aseguradora,True,True
2020-09-11 13:26:12.512851,2011545333,Data Engineer,Business & Decision,True,False
2020-09-11 13:26:28.768899,1990129436,Data Engineer,Ontruck,False,False
2020-09-11 13:28:06.623872,2006520930,Senior Data Engineer - Digital Hub,Ferrovial,False,False
2020-09-11 13:28:23.384125,1990255850,Data Scientist Junior,Strategy Big Data,False,False
2020-09-11 13:28:39.296777,2010779052,Junior Data Scientist - R&D Engineer,Pix4D,False,False
2020-09-11 13:29:09.313068,1990942383,Data Engineer,Montarelo Consulting,True,False
2020-09-11 13:29:25.464906,2011254160,Data Scientist,Daimler Group Services Madrid,False,False
2020-09-11 13:29:52.513601,2002030870,Data Scientist,SoYou_Bankia,True,True
2020-09-11 13:30:09.048207,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-11 13:31:54.785979,2150330727,Power BI Consultant,Bluetab Solutions,True,True
2020-09-11 13:32:10.241819,1997539687,Consultor/a Power BI,DXC Technology,False,False
2020-09-11 13:32:25.542101,2022995533,Desarrollador BI - Microstrategy,Innova-tsn,False,False
2020-09-11 13:32:41.094479,2010335374,Visualización Azure Power Bi,everis,False,False
2020-09-11 13:32:56.544822,2011176088,Arquitecto de Datos BI,UNIR - La Universidad en Internet,False,False
2020-09-11 13:33:12.164168,2012647515,Business Intelligence Consultant,Visualitics,False,False
2020-09-11 13:33:27.232754,2011134365,Business Intelligence Analyst,JUST EAT,False,False
2020-09-12 16:58:38.439191,2011562592,Beca Big Data. Scala Spark,Capgemini,True,True
2020-09-12 16:58:54.789153,1998149634,Data Analytics / Data Scientist,Evolutio Empowering the cloud,False,False
2020-09-12 16:59:20.821654,2019339369,Programador Java-Spark (Big Data),FDS a DXC Technology Company,True,True
2020-09-12 16:59:50.638037,2023684690,Data Engineer,Sogeti,True,True
2020-09-12 17:00:20.216490,2011545333,Data Engineer,Business & Decision,True,False
2020-09-12 17:00:35.259332,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-12 17:02:11.973387,2002165349,Programador Python,Innova-tsn,False,False
2020-09-12 17:02:26.972861,2016947813,Big Data Analyst,Claire Joster,False,False
2020-09-12 17:02:42.078110,2022995533,Desarrollador BI - Microstrategy,Innova-tsn,False,False
2020-09-12 17:02:58.041883,2011562450,Ingeniero/a de datos,Empresa Confidencial,False,False
2020-09-12 17:03:23.907255,2008119100,Artificial Intelligence Strategy Analyst,everis,True,True
2020-09-12 17:03:53.146195,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-12 17:05:27.480125,2150330727,Power BI Consultant,Bluetab Solutions,False,False
2020-09-12 17:05:42.717600,2010335374,Visualización Azure Power Bi,everis,False,False
2020-09-12 17:05:58.323428,2011562450,Ingeniero/a de datos,Empresa Confidencial,False,False
2020-09-12 17:06:13.517899,2011176088,Arquitecto de Datos BI,UNIR - La Universidad en Internet,False,False
2020-09-12 17:06:29.013393,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-12 17:06:44.480768,2012647515,Business Intelligence Consultant,Visualitics,False,False
2020-09-12 17:08:36.706618,2006296448,IT Business Analyst (Feature Engineer),ING España&Portugal,True,True
2020-09-12 17:08:51.976812,2016947813,Big Data Analyst,Claire Joster,False,False
2020-09-12 17:09:07.156736,2011268679,Business Analyst - Behaviour Driven Development (BDD),everis,False,False
2020-09-12 17:09:22.376473,2011244008,Senior Data Analyst (FTTH Telco),Arca.,False,False
2020-09-12 17:09:36.966857,2023671541,Statistical Analyst/DBA,IRIUM,False,False
2020-09-12 17:09:51.734127,2011286105,Data Analyst Customer Interaction,ING España&Portugal,False,False
2020-09-12 17:11:25.680989,1697747240,Software Engineer,"CDS, a Hewlett Packard Enterprise company",False,False
2020-09-12 17:11:41.038110,2011521423,Desarrollador Big Data,StratioBD,False,False
2020-09-12 17:12:10.452249,1944172847,Software Engineer,VIPERA Plc,True,False
2020-09-12 17:12:25.904900,2023684690,Data Engineer,Sogeti,False,False
2020-09-12 17:12:54.465779,2011545333,Data Engineer,Business & Decision,True,False
2020-09-12 17:13:24.170195,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-13 19:30:30.491308,1998149634,Data Analytics / Data Scientist,Evolutio Empowering the cloud,False,False
2020-09-13 19:30:46.065374,2006520930,Senior Data Engineer - Digital Hub,Ferrovial,False,False
2020-09-13 19:31:01.098168,2023684690,Data Engineer,Sogeti,False,False
2020-09-13 19:31:31.882991,2011545333,Data Engineer,Business & Decision,True,False
